File,Number_of_Channels,Image_Dimension,Bit_Depth,Ch1_Dimension,Ch1_Mean_Intensity,Ch1_Median_Intensity,Ch1_Intensity_Range,Ch1_Percent_Saturation,Ch2_Dimension,Ch2_Mean_Intensity,Ch2_Median_Intensity,Ch2_Intensity_Range,Ch2_Percent_Saturation,Ch3_Dimension,Ch3_Mean_Intensity,Ch3_Median_Intensity,Ch3_Intensity_Range,Ch3_Percent_Saturation
/home/bia/thinclient_drives/IAC/Project/Will Trim/DATA/from Seungeun/Fused_Cy5.tif,3,2942x998,14,2942x998,558.607888448549,603.0,"[0, 11926]",3.4058599864583006e-05,2942x998,257.19703785545255,270.0,"[0, 7245]",3.4058599864583006e-05,2942x998,683.1169276009531,456.0,"[0, 4095]",0.015394487138791518
/home/bia/thinclient_drives/IAC/Project/Will Trim/DATA/from Seungeun/Fused_Cy3.tif,3,2942x998,14,2942x998,602.6697068508192,636.0,"[0, 8612]",3.4058599864583006e-05,2942x998,270.2775704365904,292.0,"[0, 5857]",3.4058599864583006e-05,2942x998,685.0345401884666,446.0,"[146, 4095]",0.0075610091699374275
